MOVIES,year_start,is_series,rating,runtime,runtime_is_missing,votes,votes_log,votes_is_missing,num_stars,director_freq,director_is_known,genre_action,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_film_noir,genre_game_show,genre_history,genre_horror,genre_music,genre_musical,genre_mystery,genre_news,genre_reality_tv,genre_romance,genre_sci_fi,genre_short,genre_sport,genre_talk_show,genre_thriller,genre_unknown,genre_war,genre_western
The Lord of the Rings: The Fellowship of the Ring,2001,0,8.8,160.5,0,1713028.0,14.353773706526646,0,4,4,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Think You Should Leave with Tim Robinson,2019,1,7.8,16.0,0,8095.0,8.999125391527247,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Park,1997,1,8.7,22.0,0,340148.0,12.73713903588942,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time,2011,1,7.7,60.0,0,212616.0,12.267247704063815,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Star Trek: Discovery,2017,1,7.2,60.0,0,101079.0,11.52366756150213,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teen Wolf,2011,1,7.6,41.0,0,132950.0,11.79773591826755,0,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
How to Get Away with Murder,2014,1,8.1,43.0,0,136135.0,11.821409665051272,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Star Trek: Deep Space Nine,1993,1,8.0,45.0,0,55687.0,10.927519962848502,0,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seinfeld,1989,1,8.8,22.0,0,264801.0,12.486737655886557,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spartacus: Blood and Sand,2010,1,8.5,55.0,0,228484.0,12.339225841647412,0,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii Five-0,2010,1,7.3,42.0,0,68627.0,11.136455893703317,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Good Witch,2015,1,7.3,48.0,0,8268.0,9.020268861722167,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sinner,2017,1,7.9,45.0,0,96901.0,11.48145543750074,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arrested Development,2003,1,8.7,22.0,0,284373.0,12.558045552197653,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escape Room,2019,0,6.4,99.0,0,99351.0,11.506424378627868,0,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
You,2018,1,7.7,45.0,0,157666.0,11.968240492968631,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mindhunter,2017,1,8.6,60.0,0,235694.0,12.370293875292342,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jaws,1975,0,8.0,124.0,0,558731.0,13.233425209625908,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Avatar: The Last Airbender,2005,1,9.3,23.0,0,265845.0,12.490672472740675,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Punisher,2017,1,8.5,53.0,0,194777.0,12.179615727467814,0,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Trek: Voyager,1995,1,7.8,44.0,0,61917.0,11.033566208000359,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Departed,2006,0,8.5,151.0,0,1227522.0,14.020508875746147,0,4,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Narcos,2015,1,8.8,49.0,0,375261.0,12.83537972766528,0,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Serpent,2021,0,7.6,58.0,0,33936.0,10.432261143602751,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Star Wars: The Clone Wars,2008,1,8.3,23.0,0,71904.0,11.18310108232048,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
